name_en,name_ja,url
"MAKING  Co.,  Ltd",有限会社メイキング,http://www.makingarts.com/
Monobit Inc.,株式会社モノビット,http://monobit.co.jp/
"YUKEÂ´,S CO.,LTD.",株式会社ユークス,http://www.yukes.co.jp/
Ubi Soft K.K.,ユービーアイソフト株式会社,http://www.ubisoft.co.jp/
Ubiguitous Infomation Network,株式会社ユビーネット,http://www.ubinet.jp
LINE Corporation,LINE株式会社,https://linecorp.com/
LIBER ENTERTAINMENT INC.,株式会社リベル・エンタテインメント,http://www.liberent.co.jp/
Red Entertainment Corporation,株式会社レッド・エンタテインメント,http://www.red-entertainment.co.jp/
LEVEL-5 Inc.,株式会社レベルファイブ,http://www.level5.co.jp/
,任天堂株式会社,http://www.nintendo.co.jp/
,株式会社アサツー ディ・ケイ,http://www.adk.jp/index_ja.html
,ＳＥモバイル・アンド・オンライン株式会社,http://www.semo.co.jp
,株式会社エヌ・ティ・ティピー・シーコミュニケーションズ,http://www.nttpc.co.jp/
,Epic Games Japan合同会社,http://www.epicgamesjapan.com
,株式会社KADOKAWA,http://asciimw.jp/
,株式会社ガルボア,http://galboa.com
,株式会社キャリアシステムズ,http://www.careersystems.jp/
,株式会社ゲームエイジ総研,http://www.gameage.jp/
,GameBank株式会社,http://www.gamebank.co.jp/
,株式会社コスパ,http://www.cospa.com/
,株式会社サードウェーブ,http://info.twave.co.jp
,株式会社セミック,http://www.cemic.co.jp
,株式会社ソニー・ミュージックコミュニケーションズ,http://www.smci.jp
,株式会社ソフトギア,http://www.soft-gear.co.jp/
,大和証券株式会社,http://www.daiwa.jp/
,株式会社タカラトミーアーツ,http://www.takaratomy-arts.co.jp/
,DOLBY JAPAN株式会社,https://www.dolby.com
,ナオ株式会社,http://naoco.tv
,株式会社日経ＢＰ,http://www.nikkeibp.co.jp
,Happy Elements Asia Pacific 株式会社,http://www.happyelements.com/
,株式会社ブシロード,http://bushiroad.com/
,株式会社ブロッコリー,http://www.broccoli.co.jp/
,株式会社みずほ銀行,http://www.mizuhobank.co.jp/
,株式会社ミリアッシュ,http://www.myriashue.co.jp/
,株式会社モリサワ,http://www.morisawa.co.jp
,友金通商株式会社,http://www.yukintrading.com
,アミューズメントメディア総合学院,http://www.amgakuin.co.jp/index.html
,(学)片柳学園日本工学院専門学校,http://www.neec.ac.jp/
,(学)新潟総合学院  新潟コンピュータ専門学校,http://www.nsg.gr.jp/ncc/
,学校法人　神戸電子専門学校,http://www.kobedenshi.ac.jp/
,学校法人日本教育財団,http://www.hal.ac.jp
,(学)河合塾学園  トライデントコンピュータ専門学校,http://www.trident.ac.jp
,国際情報工科自動車大学校,http://www.wiz.ac.jp
,(学)小山学園  専門学校東京テクニカルカレッジ,http://www.tera-house.ac.jp/
,(学)静岡理工科大学沼津情報・ビジネス専門学校,http://www.numasen.ac.jp
,(学)情報文化学園　アーツカレッジヨコハマ,http://www.kccollege.ac.jp/
,総合学園 ヒューマン・アカデミー,http://ha.athuman.com/game/index.html?code=030448
,学校法人中央情報学園早稲田文理専門学校,http://wbc.ac.jp/
,(学)電子学園  日本電子専門学校,http://www.jec.ac.jp
,(学)東京コミュニケーションアート専門学校,http://www.tca.ac.jp/
,東京デザインテクノロジーセンター専門学校,http://www.tech.ac.jp/
,名古屋情報メディア専門学校,http://www.ncs.ac.jp/
,新潟高度情報専門学校,http://www.nht.ac.jp
,(学)日本コンピュータ学園東北電子専門学校,http://www.jc-21.ac.jp/
,㈱バンタン バンタンゲームアカデミー,http://www.vantan-game.com
,(学)山口学園ECCコンピュータ専門学校,http://hello.ecc.ac.jp/comp/
,VAQSO Inc.,https://vaqso.com/
,北京動力創想科技有限公司,http://www.forcegen.net/
,Razer Asia-Pacific,https://www.razerzone.com
,竹谷   新   （ゲイムマン）,http://www.gameman-dicesta.jp/
