"web-scraper-order","name_ja","company_games","company_description","company_descr_country","company_descr_city","url","top_level_domain","tld_country","link_geoip"
"1522049479-2195","ラプター",,,,,"http://www.sp-janis.com/","com",,"JP"
"1522049479-2251","(有)レイヴ",,,,,"http://www.remus.dti.ne.jp/~rave-aki/","jp","Japan","JP"
"1522049599-2496","ま～まれぇど",,,,,"http://www.web-marmalade.com/","com",,"JP"
"1522049479-2196","LOVEDELIVERY",,,,,"http://lovedelivery.biz/","biz",,"US"
"1522049479-2190","Lapis lazuli(ラピスラズリ)",,,,,"http://www.lapislazuli-soft.com/","com",,"JP"
"1522049599-2554","Moon Parrot(ムーンパロット)",,,,,"http://www.moon-parrot.com/","com",,"N/A"
"1522049539-2288",,,,,,,,,
"1522049476-2111","WAS",,,,,"http://ces-n.com/was/","com",,"JP"
"1522049539-2286",,,,,,,,,
"1522049479-2250","レイ",,,,,"http://www.ray.co.jp/","jp","Japan","JP"
"1522049599-2449",,,,,,,,,
"1522049539-2389","リビドー",,,,,"http://www.libido.ne.jp/","jp","Japan","JP"
"1522049599-2516","material",,,,,"http://www.material-game.com/","com",,"JP"
"1522049476-2105",,,,,,,,,
"1522049599-2499","Micro Groove",,,,,"http://www.cyc-soft.com/","com",,"JP"
"1522049479-2184","Latte(ラテ)",,,,,"http://latte.nexton-net.jp/","jp","Japan","JP"
"1522049599-2559","(株)エクストリーム",,,,,"http://www.e-xtreme.co.jp/","jp","Japan","JP"
"1522049539-2318",,,,,,,,,
"1522049479-2138",,,,,,,,,
"1522049479-2260","(株)レッド・エンタテインメント",,,,,"http://red-entertainment.co.jp/","jp","Japan","JP"
"1522049479-2152",,,,,,,,,
"1522049599-2525","(株)マルチメディア インテリジェンス トランスファー [MIT]",,,,,"http://www.mitjapan.com/","com",,"JP"
"1522049476-2113","WAM(ワム)",,,,,"http://www.at-sakura.net/wam/main.php","net",,"US"
"1522049479-2228","リリス",,,,,"http://www.lilith-soft.com/","com",,"JP"
"1522049479-2262","RED-ZONE",,,,,"http://rzone.jp/","jp","Japan","JP"
"1522049479-2153",,,,,,,,,
"1522049599-2526","Marron",,,,,"http://www.marron.nu/","nu","Niue","FR"
"1522049599-2483",,,,,,,,,
"1522049599-2543","ミルククラウン",,,,,"http://www.milkcrown.co.jp/","jp","Japan","JP"
"1522049479-2124",,,,,,,,,
"1522049479-2149",,,,,,,,,
"1522049476-2106",,,,,,,,,
"1522049479-2265","(株)アストロール",,,,,"http://www.musical.jp/astroll/","jp","Japan","JP"
"1522049479-2273","(株)ログ",,,,,"http://www.log.co.jp/","jp","Japan","JP"
"1522049479-2216","Ricotta(リコッタ)",,,,,"http://www.ricotta-soft.jp/","jp","Japan","JP"
"1522049479-2231","LiLiM DARKNESS",,,,,"http://s-digi.jp/lilim/","jp","Japan","JP"
"1522049539-2296",,,,,,,,,
"1522049539-2441","ロケットカンパニー(株)",,,,,"http://www.rocketcompany.co.jp/","jp","Japan","N/A"
"1522049479-2232","LiLiM生",,,,,"http://s-digi.jp/lilim/","jp","Japan","JP"
"1522049479-2261","(株)レッド・エンタテインメント",,,,,"http://red-entertainment.co.jp/","jp","Japan","JP"
"1522049599-2493",,,,,,,,,
"1522049599-2460",,,,,,,,,
"1522049479-2249","ルピナス",,,,,"http://www.if-lupinus.com/","com",,"JP"
"1522049479-2172","Ripe",,,,,"http://www.teck.jp/ripe/","jp","Japan","JP"
"1522049539-2380","liquid-shine",,,,,"http://liquid.nexton-net.jp/","jp","Japan","JP"
"1522049539-2299",,,,,,,,,
"1522049539-2385","リトルウイング",,,,,"http://www.littlewingpinball.com/","com",,"JP"
"1522049599-2573","MORE",,,,,"http://www.moresoft-info.jp/","jp","Japan","JP"
"1522049539-2293",,,,,,,,,
"1522049599-2464",,,,,,,,,
"1522049479-2162",,,,,,,,,
"1522049599-2494",,,,,,,,,
"1522049539-2292",,,,,,,,,
"1522049599-2469",,,,,,,,,
"1522049539-2349","R u s s e l l . p u r e(ラッセル・ピュア)",,,,,"http://www.russel.co.jp/pure/index.html","jp","Japan","JP"
"1522049539-2388","(株)アルティ",,,,,"http://www.althi.co.jp/","jp","Japan","JP"
"1522049539-2400","rouge(ルージュ)",,,,,"http://www.will-japan.co.jp/rouge/","jp","Japan","JP"
"1522049539-2398","LiLiM生",,,,,"http://s-digi.jp/lilim/","jp","Japan","JP"
"1522049599-2567","menue(株)",,,,,"http://www.menue.co.jp/","jp","Japan","JP"
"1522049599-2500","マイクロソフト",,,,,"http://www.microsoft.com/japan/games/","com",,"NL"
"1522049599-2454",,,,,,,,,
"1522049599-2481",,,,,,,,,
