"web-scraper-order","name_ja","company_games","company_description","address","company_descr_country","company_descr_city","url","top_level_domain","tld_country","link_geoip"
,"ガールズソフトウェア"," (W98)　コミックカフェ<br>",,"〒160-0023　東京都新宿区西新宿4-14-7-704　03(3320)5455<br><br>","[]","[]","http://www.girls-software.jp/index1.html","jp","Japan","JP"
,"ガイナックス"," (PS.W98.ETC)　エヴァンゲリオン",,"〒180-0006　東京都武蔵野市中町2-5-22　中町ビル　　0422(53)5568","[]","[]","http://www.gainax.co.jp/","jp","Japan","JP"
,"加賀テック"," (PS.PS2.DC.GB.W98.AC.ETC)　徹萬",,"〒162-0801　東京都新宿区山吹町346-6　日新ビル５Ｆ　　03(5229)8520","[]","[]","http://www.taxan.co.jp/","jp","Japan","JP"
,"カクテルソフト"," (W98)　プリンセスメモリー",,"〒169-0075　東京都新宿区高田馬場3-3-3　ＮＩＡビル４Ｆ　　03(3365)6755","[]","[]","http://www.fandc.co.jp/products/prod_cock.html","jp","Japan","JP"
,"ＣＡＧＥ"," (W98)　しっぽのきもち<br>",,"〒171-0014　東京都豊島区池袋4-6-5　近藤ビル1F<br><br>","[]","[]","http://www.runesoft.co.jp/cage/","jp","Japan","N/A"
,"カスタムソフトウェア"," (W98)　ゆ・う・え・ん・ち<br>",,"〒177-0044　東京都練馬区上石神井1-23-6-201<br><br>","[]","[]","http://www.custom-jp.net/software/","net",,"JP"
,"ガスト"," (PS.PS2.AC.ETC)　マリーのアトリエ",,"〒380-0824　長野市南石堂町1293　　026(224)8300","[]","[]","http://www.gust.co.jp/","jp","Japan","JP"
,"カゼ"," (PS.GB.W98.AC)　ラストグラディエーターズ",,"〒107-0062　東京都港区南青山7-8-1　小田急南青山ビル３Ｆ　　03(3797)0350","[]","[]","http://kazenet.com/kaze/","com",,"US"
,"ガッツ"," (W98)　Cherry Works",,"〒120-0036　東京都足立区千住仲町32-6　１Ｆ","[]","[]","http://www.guts.co.jp/","jp","Japan","JP"
,"角川書店"," (PS.PS2.DC.W98)　ルナ",,"〒102-8177　東京都千代田区富士見2-13-3　　03(3238)8411","[]","[]","http://www.kadokawa.co.jp/","jp","Japan","JP"
,"カネコ"," (PS.AC.ETC)　ひざの上の同居人（パートナー）",,"〒181-0013　東京都三鷹市下連雀3-34-4　第２にのたかビル　　0422(71)7811","[]","[]","http://www.kanekosystem.co.jp/","jp","Japan","N/A"
,"カプコン"," (PS.PS2.DC.N64.W98.AC)　ストリートファイターシリーズ",,"〒540-0037　大阪市中央区内平野町3-1-3　　06(6920)3603","[]","[]","http://www.capcom.co.jp/","jp","Japan","JP"
,"カルチャーブレーン"," (PS.PS2.DC.N64.GB.W98.AC)　飛龍の拳シリーズ",,"〒130-0012　東京都墨田区太平3-11-11　　03(3829)0862","[]","[]","http://www.culturebrain.co.jp/","jp","Japan","JP"
,"ガンバリオン"," <br><br> (W98.PS.PS2.GC.GB)　バトローラーエックス",,"<br>〒810-0005　福岡県福岡市中央区清川2-17-15　トミソービル6F ","[]","[]","http://www.ganbarion.co.jp/","jp","Japan","JP"
,"ＧＵＮＧ－ＨＯ！"," (W98)　グリーングリーン<br>",,"〒343-0045　埼玉県越谷市下間久里728-1<br><br>","[]","[]","http://www.gung-ho.co.jp/","jp","Japan","N/A"
,"ＫＥＹ"," (W98)　ＡＩＲ",,"〒530-0044　大阪市北区東天満2-1-27　東天満パークビル８Ｆ　　06(6355)2001","[]","[]","http://key.visualarts.gr.jp/","jp","Japan","JP"
,"戯画"," (W98)　ハーレムブレイド２ -Dark angel-",,"〒530-0037　大阪市北区松ヶ枝町1-3　高栄松ヶ枝ビル　　0120(30)1067","[]","[]","http://www.web-giga.com/","com",,"JP"
,"ＫＩＳＳ"," (GBA,XBOX)　トライアングル・アゲイン<br> 東京都武蔵野市中町2-5-3<br><br> (W98)　カスタム奴隷",,"〒150-0001　東京都渋谷区神宮前4-2-17　ホワイトビル４Ｆ","[]","[]","http://www.iris.dti.ne.jp/~kisskiss/","jp","Japan","JP"
,"キッド"," (PS.DC.GB.W98.ETC)　バーチャコールＳ",,"〒140-0011　東京都品川区大井2-13-18　ケイヒン東大井ビル６Ｆ　　03(5493)2700","[]","[]","http://www.kid-game.co.jp/","jp","Japan","JP"
,"キットピーク"," (ETC)　Racing Days",,"〒108-0075　東京都港区港南4-1-10-1202　　03(5461)4805","[]","[]","http://www.kittpeak.co.jp/","jp","Japan","JP"
,"<a href=""http://web.archive.org/web/20070224030339/http://www.gaga.co.jp/"">ギャガ・コミュニケーションズ</a>"," (PS.PS2.W98)　FINALIST",,"〒106-0032　東京都港区六本木3-16-35　イースト六本木ビル　　03(3589)7500","[]","[]","http://www.gaga.co.jp/","jp","Japan","JP"
,"ＣＡＴ　ＷＡＬＫ"," (W98)　デミウルゴスの娘<br>",,"〒530-0044　大阪府大阪市北区東天満2-1-27　東天満パークビル8F　06(6355)2001<br><br>","[]","[]","http://catwalk.product.co.jp/","jp","Japan","JP"
